amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
40.96,6,Food,0,1,82,2,51,0
57.07,6,Electronics,0,0,42,2,18,0
44.24,0,Grocery,0,0,26,2,25,0
396.8,23,Clothing,0,0,97,1,34,0
20.13,0,Food,0,0,91,1,28,0
129.82,4,Clothing,0,0,82,0,40,0
152.2,8,Travel,0,0,65,2,30,0
293.74,22,Travel,0,0,35,1,54,0
86.02,7,Electronics,0,0,99,2,45,0
335.42,16,Clothing,0,0,76,2,39,0
51.05,14,Clothing,0,0,60,3,59,0
315.12,17,Food,0,0,78,1,46,0
123.44,6,Clothing,0,0,55,2,65,0
364.63,23,Travel,0,0,82,4,44,0
10.47,11,Travel,0,0,75,3,43,0
315.34,10,Electronics,0,0,58,2,25,0
98.95,11,Clothing,0,0,80,0,24,0
474.99,10,Grocery,1,0,49,4,36,0
143.5,14,Clothing,0,0,68,3,51,0
14.06,12,Electronics,0,0,57,1,18,0
295.27,19,Electronics,0,0,97,6,63,0
465.41,16,Grocery,0,0,32,1,61,0
165.17,7,Food,0,0,88,4,37,0
0.16,1,Grocery,0,0,77,2,30,0
105.27,21,Clothing,0,0,63,1,36,0
234.68,7,Grocery,0,0,69,2,36,0
136.79,7,Electronics,0,0,26,1,66,0
129.42,3,Clothing,0,0,93,3,49,0
29.62,4,Grocery,0,0,57,1,62,0
21.5,5,Grocery,0,0,74,3,68,0
526.0,23,Clothing,0,0,91,1,27,0
80.61,6,Electronics,0,0,41,3,48,0
295.08,18,Travel,0,0,89,1,65,0
39.33,18,Food,0,0,54,2,43,0
155.78,16,Travel,0,0,46,4,18,0
52.36,14,Clothing,1,0,63,2,29,0
191.05,22,Grocery,0,1,30,4,60,0
98.73,9,Clothing,0,0,40,3,25,0
7.94,14,Clothing,0,0,84,2,59,0
108.69,21,Electronics,0,0,69,1,48,0
17.12,4,Grocery,0,0,41,3,48,0
132.32,9,Travel,0,0,63,0,46,0
90.4,15,Food,0,0,67,3,21,0
29.82,7,Food,0,0,30,5,43,0
31.53,17,Food,0,0,87,2,52,0
32.88,3,Travel,0,0,83,5,37,0
171.33,22,Travel,0,0,50,1,53,0
195.97,11,Clothing,1,0,81,0,26,0
228.14,6,Electronics,1,0,48,2,42,0
93.78,8,Food,0,0,94,0,45,0
198.43,14,Grocery,1,0,88,0,50,0
138.55,4,Travel,0,0,31,2,22,0
207.38,9,Food,0,0,28,1,53,0
0.94,6,Travel,0,0,82,1,18,0
59.77,12,Travel,1,0,92,1,45,0
230.47,11,Electronics,0,0,89,1,41,0
469.14,14,Grocery,1,0,31,4,58,0
10.84,22,Food,0,0,90,2,40,0
121.86,9,Travel,0,0,31,1,36,0
393.59,18,Food,0,0,45,2,46,0
115.86,11,Food,1,0,57,2,42,0
61.65,23,Clothing,0,0,33,0,60,0
67.88,6,Travel,0,0,30,3,50,0
69.09,16,Electronics,0,0,52,2,40,0
510.29,6,Grocery,0,1,80,3,67,0
123.27,16,Food,0,0,71,4,23,0
275.34,20,Clothing,0,0,84,3,39,0
18.33,15,Grocery,0,0,70,2,58,0
21.5,21,Grocery,0,0,74,2,21,0
33.24,2,Grocery,0,0,89,2,37,0
70.13,17,Electronics,1,0,46,3,51,0
38.48,21,Food,0,0,36,4,58,0
570.49,14,Electronics,0,0,62,4,56,0
210.54,10,Food,0,0,68,1,54,0
104.87,23,Clothing,0,0,72,1,57,0
78.51,8,Electronics,0,0,26,1,18,0
36.66,13,Travel,0,1,28,1,40,0
296.52,0,Electronics,0,0,99,3,18,0
130.22,0,Grocery,0,0,65,0,26,0
4.49,4,Food,0,0,54,0,30,0
3.29,23,Electronics,0,0,48,2,29,0
70.6,22,Food,0,0,46,2,43,0
59.11,19,Grocery,0,0,45,1,43,0
517.88,23,Travel,0,0,80,6,30,0
41.0,2,Food,0,0,85,3,57,0
8.37,16,Travel,0,0,98,2,39,0
95.86,21,Travel,0,0,88,2,62,0
542.04,8,Clothing,0,0,81,0,25,0
24.55,21,Clothing,1,0,91,3,56,0
142.31,4,Clothing,1,0,65,2,41,0
48.81,16,Travel,0,0,53,4,46,0
340.82,9,Travel,0,0,76,2,48,0
10.36,11,Travel,0,0,67,2,54,0
31.95,16,Electronics,1,0,42,2,64,0
136.41,11,Electronics,0,0,40,3,57,0
13.24,22,Electronics,0,0,64,4,62,0
28.55,14,Clothing,0,0,96,2,32,0
0.24,13,Clothing,0,0,30,3,53,0
251.51,22,Grocery,0,0,56,2,41,0
20.92,17,Food,0,0,30,2,62,0
199.97,21,Food,0,1,79,3,63,0
172.1,13,Electronics,0,0,89,2,49,0
25.28,1,Electronics,0,0,92,2,49,0
202.91,1,Electronics,0,0,46,0,68,0
285.35,11,Food,0,0,29,2,28,0
357.37,13,Clothing,1,0,68,4,49,0
136.83,13,Electronics,0,0,30,3,20,0
18.44,8,Clothing,0,0,80,4,53,0
205.23,2,Food,0,0,40,4,64,0
428.43,0,Travel,0,1,66,1,25,0
723.9,8,Food,0,0,93,2,42,0
32.9,17,Electronics,0,0,57,2,46,0
504.92,19,Electronics,0,0,56,1,59,0
529.59,4,Clothing,0,0,53,1,24,0
306.46,6,Grocery,0,0,46,1,31,0
121.07,5,Grocery,0,0,37,1,68,0
19.33,10,Clothing,0,0,59,2,68,0
29.36,19,Clothing,0,0,26,3,44,0
231.35,23,Electronics,0,0,62,2,67,0
607.77,21,Travel,0,0,86,1,67,0
185.55,12,Electronics,0,0,51,0,27,0
36.88,19,Electronics,0,0,44,1,46,0
218.3,0,Electronics,0,0,66,1,47,0
156.49,18,Travel,0,0,36,3,68,0
858.88,13,Food,0,0,82,3,49,0
105.93,2,Food,0,0,73,2,56,0
209.89,11,Food,0,0,25,1,53,0
360.84,15,Food,0,0,42,2,29,0
118.03,4,Food,0,0,96,2,57,0
29.55,14,Electronics,1,0,81,2,40,0
324.59,19,Clothing,0,0,39,4,44,0
84.47,6,Grocery,1,0,48,1,46,0
95.21,13,Food,0,0,82,3,39,0
156.76,10,Grocery,1,0,92,1,31,0
321.5,4,Grocery,0,0,85,1,44,0
24.05,13,Clothing,0,0,31,1,23,0
111.58,8,Travel,0,0,60,3,26,0
285.09,6,Travel,0,0,35,3,58,0
39.42,6,Electronics,1,0,68,2,42,0
105.31,11,Grocery,1,0,37,2,19,0
237.21,13,Travel,0,0,53,1,67,0
41.22,10,Electronics,0,0,91,3,69,0
3.25,18,Food,0,0,70,2,67,0
100.08,10,Clothing,0,0,92,2,19,0
434.98,19,Food,1,0,61,3,29,0
643.94,1,Grocery,0,0,74,1,64,0
103.4,13,Food,0,0,98,1,69,0
99.75,21,Travel,0,0,27,0,30,0
92.4,5,Electronics,0,0,99,3,59,0
362.59,11,Grocery,0,0,37,1,30,0
135.73,18,Grocery,0,0,25,3,42,0
227.6,12,Electronics,0,0,31,0,34,0
61.32,14,Electronics,0,0,81,0,21,0
195.53,1,Grocery,0,0,39,3,46,0
275.4,5,Food,0,0,26,2,37,0
1227.01,9,Clothing,0,0,52,3,29,0
32.54,9,Electronics,0,0,72,3,46,0
35.36,11,Grocery,0,0,95,4,65,0
42.55,0,Food,0,0,27,5,41,1
188.05,9,Food,0,1,64,2,50,0
372.71,13,Clothing,0,0,26,1,20,0
57.0,5,Clothing,0,0,75,3,57,0
48.13,12,Clothing,0,0,97,2,31,0
56.89,7,Clothing,0,0,38,4,53,0
80.12,22,Travel,0,0,34,1,43,0
7.15,23,Electronics,0,0,59,1,47,0
59.13,23,Travel,0,0,64,3,38,0
201.44,20,Grocery,1,0,37,4,22,0
39.17,20,Travel,0,0,56,2,44,0
146.83,2,Food,0,1,94,4,48,0
120.8,20,Clothing,0,0,45,2,29,0
132.96,17,Clothing,0,1,73,4,42,0
437.04,4,Electronics,0,1,64,2,68,0
363.18,2,Travel,0,0,90,1,41,0
175.66,2,Travel,0,1,49,2,46,0
27.6,20,Grocery,0,0,53,2,56,0
113.51,1,Clothing,0,0,51,1,28,0
14.46,8,Food,0,0,68,0,22,0
53.07,20,Clothing,0,1,49,3,58,0
66.74,7,Food,0,1,67,5,40,0
28.68,0,Travel,0,0,55,0,68,0
232.68,18,Travel,1,0,29,1,58,0
57.26,11,Travel,0,0,88,2,22,0
120.37,8,Clothing,0,0,45,2,23,0
39.48,12,Food,0,0,81,3,56,0
187.16,3,Grocery,0,1,70,4,65,0
102.58,10,Electronics,0,1,37,4,54,0
275.43,11,Food,0,0,85,3,21,0
66.6,16,Clothing,0,0,32,4,55,0
9.61,4,Grocery,0,0,94,2,46,0
131.77,5,Electronics,0,0,92,2,23,0
41.14,17,Travel,0,0,65,0,35,0
87.04,13,Travel,0,1,74,3,22,0
275.65,12,Clothing,0,1,84,0,38,0
305.49,21,Electronics,0,0,75,2,32,0
22.35,10,Travel,0,0,67,1,23,0
120.92,7,Food,0,0,94,2,23,0
334.02,14,Travel,0,0,92,3,68,0
121.91,19,Food,0,0,35,0,39,0
410.04,5,Clothing,0,0,70,3,25,0
131.23,13,Electronics,0,0,69,1,62,0
299.18,14,Clothing,0,0,60,3,43,0
303.13,3,Electronics,0,0,61,1,20,0
78.24,4,Food,0,0,81,1,33,0
36.12,8,Electronics,1,1,51,1,20,0
184.4,6,Electronics,0,0,26,2,35,0
214.77,11,Electronics,0,0,73,1,18,0
247.2,8,Clothing,0,0,89,3,34,0
73.66,7,Clothing,0,0,74,3,38,0
39.37,9,Grocery,0,0,57,0,31,0
151.7,20,Travel,0,0,99,5,68,0
16.54,7,Grocery,1,1,48,1,43,0
425.31,13,Clothing,1,0,26,3,41,0
104.21,6,Travel,0,1,43,2,34,0
55.48,3,Travel,1,1,40,2,55,1
99.89,22,Electronics,0,0,56,1,49,0
41.74,16,Food,0,0,95,3,47,0
137.95,14,Clothing,0,0,83,2,31,0
44.43,7,Grocery,0,0,25,1,67,0
147.05,15,Clothing,1,0,30,2,27,0
82.18,4,Grocery,0,1,61,2,18,0
346.77,8,Food,0,1,59,2,26,0
195.71,15,Electronics,0,0,53,0,53,0
25.86,6,Grocery,0,0,41,4,61,0
220.49,19,Electronics,0,1,91,2,56,0
137.18,0,Food,0,1,29,2,52,1
225.52,11,Travel,0,0,25,2,31,0
35.1,10,Food,0,0,49,3,48,0
17.27,1,Clothing,0,0,50,5,56,0
624.57,8,Clothing,0,0,93,1,20,0
17.23,10,Travel,0,0,99,1,48,0
541.05,15,Electronics,0,1,69,2,66,0
52.66,9,Food,0,0,93,2,67,0
251.27,20,Electronics,0,1,99,3,47,0
22.22,3,Grocery,0,0,28,4,45,0
624.21,21,Grocery,0,1,26,1,41,0
155.95,2,Electronics,0,0,94,2,42,0
183.38,6,Clothing,0,0,28,1,65,0
149.31,5,Clothing,0,0,28,4,51,0
369.4,15,Food,0,0,93,3,32,0
556.87,0,Electronics,0,0,81,1,49,0
1.17,19,Travel,0,0,47,2,60,0
32.18,17,Grocery,0,0,54,5,48,0
499.01,9,Food,0,0,49,2,41,0
266.23,4,Clothing,0,0,69,1,26,0
132.66,23,Clothing,0,0,96,1,33,0
42.49,5,Electronics,0,0,31,1,33,0
26.42,10,Food,0,0,68,3,31,0
251.27,8,Clothing,0,0,40,1,34,0
103.6,15,Travel,0,0,54,2,54,0
380.46,6,Travel,0,0,82,1,45,0
45.1,20,Clothing,0,0,86,3,40,0
143.39,11,Food,0,0,83,4,54,0
701.79,2,Travel,1,1,94,1,20,1
49.75,11,Travel,0,0,79,2,34,0
220.39,23,Food,0,0,50,2,41,0
44.9,9,Electronics,0,0,67,1,44,0
341.43,14,Electronics,1,0,71,4,18,0
35.54,5,Clothing,1,0,66,2,25,0
21.43,10,Clothing,0,0,98,3,44,0
239.5,20,Clothing,0,0,92,0,62,0
48.23,21,Electronics,0,0,96,0,29,0
791.2,6,Travel,0,1,48,4,25,0
33.35,15,Travel,0,0,88,2,50,0
241.0,5,Grocery,0,0,64,1,51,0
85.24,17,Grocery,0,0,72,2,55,0
76.81,2,Electronics,0,0,32,2,27,0
42.61,17,Electronics,0,0,38,3,19,0
269.79,17,Travel,0,1,52,1,33,0
194.35,8,Clothing,0,0,42,2,57,0
132.47,21,Travel,0,0,88,2,19,0
325.55,22,Grocery,0,0,57,2,23,0
95.78,21,Food,0,0,52,1,49,0
31.01,21,Electronics,0,0,92,4,41,0
463.23,1,Travel,0,0,63,1,52,0
289.62,15,Travel,0,1,46,1,44,0
0.01,3,Clothing,0,0,78,1,34,0
339.34,10,Travel,0,0,70,3,30,0
73.18,13,Electronics,0,0,56,2,47,0
175.95,17,Food,0,0,52,4,27,0
642.2,6,Electronics,0,0,78,1,52,0
50.97,15,Food,0,0,89,0,63,0
13.17,4,Grocery,0,0,61,2,29,0
305.66,17,Grocery,0,0,68,3,23,0
305.35,11,Electronics,0,0,58,3,50,0
244.94,2,Travel,0,0,27,1,32,0
303.22,6,Travel,0,0,73,1,69,0
35.42,12,Electronics,0,0,98,1,54,0
5.75,1,Travel,0,0,91,1,50,0
91.11,10,Travel,0,0,64,1,64,0
361.87,12,Clothing,0,0,62,2,37,0
42.88,2,Electronics,1,0,45,3,58,0
37.71,20,Electronics,0,0,43,0,18,0
20.1,15,Grocery,0,0,79,0,69,0
868.26,8,Electronics,0,0,99,3,69,0
24.09,7,Electronics,0,0,52,3,57,0
33.7,20,Clothing,0,0,28,1,43,0
19.34,0,Travel,0,0,26,2,40,0
43.11,5,Electronics,0,0,30,2,21,0
181.49,20,Clothing,0,0,41,4,20,0
88.6,19,Electronics,0,0,34,1,25,0
16.82,19,Travel,0,0,32,1,53,0
164.65,18,Electronics,0,0,33,2,58,0
56.79,2,Clothing,0,0,42,0,30,0
1.04,17,Grocery,0,0,53,2,38,0
15.67,0,Grocery,0,0,93,5,39,0
129.17,8,Food,0,0,51,1,23,0
14.4,9,Electronics,0,0,58,2,22,0
9.35,21,Electronics,0,0,54,5,24,0
257.47,14,Grocery,0,0,69,2,64,0
176.02,5,Travel,0,0,60,2,37,0
253.27,15,Grocery,0,1,99,1,56,0
100.97,0,Travel,1,0,43,0,49,0
1.99,17,Electronics,0,0,81,0,23,0
215.2,16,Clothing,0,0,73,3,40,0
0.91,14,Grocery,0,0,84,3,52,0
495.26,9,Travel,0,0,59,2,23,0
295.83,7,Grocery,0,0,46,2,26,0
185.62,16,Grocery,0,1,63,1,65,0
23.64,11,Food,0,0,97,1,57,0
69.56,4,Travel,0,0,92,2,44,0
6.19,9,Travel,0,0,91,1,27,0
260.19,11,Clothing,0,0,36,4,31,0
176.95,10,Travel,1,0,85,2,53,0
10.1,10,Electronics,0,0,47,1,23,0
96.0,15,Food,1,0,34,2,21,0
37.24,19,Clothing,0,0,43,2,28,0
159.43,6,Grocery,0,0,35,6,29,0
69.59,3,Electronics,0,0,36,1,50,0
101.97,20,Clothing,0,0,55,3,18,0
140.47,3,Travel,0,0,87,5,22,0
127.53,17,Food,0,0,37,4,57,0
141.67,17,Electronics,0,0,38,2,63,0
78.49,0,Food,0,0,74,6,32,0
155.86,10,Food,0,0,96,1,60,0
91.14,3,Clothing,0,0,64,2,66,0
182.6,14,Food,0,0,31,3,34,0
41.27,16,Electronics,0,0,30,2,52,0
872.17,3,Travel,1,0,69,1,18,0
82.68,3,Food,0,0,70,0,63,0
226.03,0,Electronics,0,0,48,1,60,0
44.44,6,Food,0,0,44,5,45,0
85.16,18,Food,0,0,60,2,60,0
77.23,6,Electronics,0,0,73,2,39,0
101.32,8,Clothing,0,0,46,0,33,0
158.59,0,Clothing,0,0,73,4,24,0
220.64,7,Electronics,0,0,39,2,53,0
157.46,14,Food,0,0,47,3,20,0
324.27,8,Electronics,0,0,55,5,49,0
562.16,23,Travel,0,0,98,2,59,0
275.18,2,Grocery,0,0,59,3,59,0
25.69,7,Electronics,0,0,57,4,22,0
33.13,17,Grocery,0,0,81,1,56,0
58.35,0,Travel,0,1,29,4,49,1
35.16,19,Food,0,0,31,3,65,0
71.92,22,Electronics,0,0,26,3,21,0
640.62,18,Grocery,0,0,64,1,65,0
198.78,6,Clothing,0,0,42,2,56,0
7.7,4,Travel,0,0,75,0,54,0
219.77,14,Food,0,0,86,1,33,0
113.83,22,Food,0,0,48,3,29,0
119.84,6,Electronics,0,0,51,4,68,0
118.71,11,Clothing,0,0,89,2,62,0
232.85,14,Grocery,0,0,27,2,29,0
250.85,2,Food,0,0,30,1,50,0
274.01,19,Travel,0,1,42,3,37,0
82.51,20,Travel,0,0,78,4,65,0
200.19,7,Grocery,0,0,73,0,55,0
175.96,2,Grocery,0,0,78,0,34,0
515.37,21,Grocery,0,0,60,2,42,0
298.02,18,Clothing,0,0,61,1,36,0
493.1,12,Electronics,1,0,64,0,47,0
350.02,21,Food,0,0,35,4,56,0
84.21,13,Electronics,0,0,90,1,56,0
27.1,13,Travel,0,0,80,3,27,0
265.3,12,Travel,0,1,55,4,65,0
97.42,8,Travel,0,0,35,1,47,0
107.79,3,Electronics,0,0,38,5,18,1
135.05,21,Travel,0,0,92,1,50,0
121.08,18,Food,0,0,58,1,27,0
258.62,14,Grocery,0,0,27,2,31,0
495.15,6,Food,0,0,96,2,32,0
175.87,3,Grocery,0,0,74,3,50,0
335.52,11,Grocery,0,0,33,1,18,0
31.92,10,Clothing,0,0,38,1,22,0
671.5,22,Travel,0,0,59,1,56,0
24.41,12,Food,0,0,74,3,57,0
150.83,2,Travel,0,0,85,2,33,0
31.45,13,Travel,0,0,80,4,43,0
74.07,12,Travel,0,0,55,1,67,0
17.2,21,Clothing,0,0,27,1,27,0
91.31,0,Grocery,0,1,33,3,33,1
158.66,5,Electronics,0,1,97,1,51,0
336.65,11,Food,0,0,33,2,51,0
14.73,17,Electronics,0,0,85,2,37,0
38.17,11,Grocery,0,0,42,1,69,0
106.56,2,Food,0,0,72,2,18,0
326.37,14,Clothing,0,0,43,4,23,0
90.12,9,Travel,0,0,45,3,41,0
15.35,7,Travel,0,1,25,2,37,0
86.03,8,Clothing,0,0,91,3,64,0
87.87,17,Food,0,0,40,1,56,0
544.51,6,Electronics,0,0,53,3,19,0
240.32,11,Clothing,0,0,41,1,52,0
254.45,5,Travel,0,0,93,2,42,0
273.06,1,Grocery,0,0,83,2,38,0
4.37,19,Grocery,0,0,83,4,49,0
217.37,20,Travel,1,1,30,2,55,1
195.23,10,Clothing,0,0,81,0,28,0
191.03,9,Clothing,0,1,57,3,37,0
58.32,1,Grocery,0,1,66,3,22,0
28.1,3,Food,0,0,28,2,52,0
269.94,18,Clothing,0,0,97,2,36,0
9.79,13,Clothing,0,0,61,2,32,0
76.21,6,Grocery,0,0,41,1,25,0
